"","text"
"81","@JorgeSchafik le aconsejo que primero mire las cosas que hacen, las contradicciones que crean y la corrupción galopante que ocultaron.

Dejen de obstruir al país, aprueben el Presupuesto Ya.

#Aprueben #PRESUPUESTO2020YA https://t.co/OKtGz76xjy"
"82","@LPGPolitica @gpfmln @HaciendaSV E incluyamos a @Nidia_FMLN 

Señores del FMLN: se les ha invitado a las comisiones para ver el presupuesto pero uds, al igual que su hermano mayor, @ARENAOFICIAL, han decidido no asistir y hacer una auto-exclusión.

Sean serios y actúen como adultos, aprueben #PRESUPUESTO2020YA"
"83","@rodolfoparker @HaciendaSV Tambien va para uds @ARENAOFICIAL @FMLNoficial (decir que tiene vicios de ley y le convierte en fraude de ley: la vieja confiable) @GANAOFICIAL @PDC_OFICIAL @PCN_Oficial @juanjmartel @LeonardoBonia 

#PRESUPUESTO2020YA"
"84","@ARENAOFICIAL @FMLNoficial @PCN_Oficial @PDC_OFICIAL @CD_ESA @LeonardoBonia 

#PRESUPUESTO2020YA https://t.co/mHfR9p8IEJ"
"85","@JorgeSchafik se le recuerda que acá su patrón es el pueblo y no una simple cupula partidaria. #PRESUPUESTO2020YA https://t.co/NwySsUIV4y"
"86","@LPGPolitica @gpfmln @HaciendaSV @LPGPolitica haciendo su parte en el boicot contra El Salvador y el gobierno de @nayibbukele, ni una sola nota sobre la manifestación ciudadana fuera de la @AsambleaSV.

Así los medios desestabilizadores invisibilizan al pueblo.

#PRESUPUESTO2020YA #PeriódicosPaguenImpuestosYa"
"87","#PRESUPUESTO2020YA¡PRESUPUESTO Y 87! https://t.co/jq00uvWLYE"
"88","ET¡PRESUPUESTO YA!

Hoy se tiene que aprobar el primer presupuesto del Gobierno de @nayibbukele
#PRESUPUESTO2020YA <U+0001F1F8><U+0001F1FB><U+0001F44A> https://t.co/OfdpCKnpvx"
"89","La @AsambleaSV le está negando la entra al pueblo salvadoreños el derecho a manifestarse pacíficamente.

Se hace un llamados a todos los q aún NO llegan ÚNANSE, solo el PUEBLO cuida al PUEBLO #PRESUPUESTO2020YA 

Compartan esta información, la @AsambleaSV bloqueo el acceso<U+0001F447><U+0001F3FB> https://t.co/CNXiwV4kCO"
"90","#PRESUPUESTO2020YA<U+26A0><U+FE0F>$ La diáspora dice presente <U+26A0><U+FE0F>
y atraves de @cinco_zavala envió una cantidad en efectivo para 250 almuerzos que seran repartidos hoy para esperar en @AsambleaSV la aprobación del presupuesto 2020
¡GRACIAS! https://t.co/MNNh1tpDE8"
"91","#PRESUPUESTO2020YAEL CLAMOR DEL PUEBLO.

#PRESUPUESTO2020YA 

 https://t.co/kp3ZISZjms"
"92","#PRESUPUESTO2020YA
Tremendo mensaje en está  pancarta. https://t.co/hLs17PyFeg"
"93","Dios mío, como es posible que esta gente se tome descansos cuando hay temas tan importantes, Aprueben el #PRESUPUESTO2020YA no sean haraganes https://t.co/wiDdYqS15V https://t.co/l3CCRoDiqD"
"94","Así está a las afueras de la @AsambleaSV.

No quieren dejar entrar a nadie.
#PRESUPUESTO2020YA https://t.co/SWXqdprjqu"
"95","@gore_full #presupuesto2020ya"
"96","@Eduardo64653924 que bello ver al pueblo juntos exigiendo lo que el pais necesita vamos si se puede #presupuesto2020ya @AsambleaSV"
"97","@AsambleaSV #presupuesto2020ya"
"98","@DrPeperecho @VeritoEsme_NI ya hay que darle matacan ese maldito escoria d ela madre patria a ese serote no le importa le Pueblo porque nos debe importar esa basura fuera ya #87ya #presupuesto2020ya"
"99","@waraujo64 @AsambleaSV cual es el miedo pues diputados abran las puertas ratas se sienten acorralados en su nido vamos pueblo salvadoreño apoyar #presupuesto2020ya"
"100","@waraujo64 @MarceloLarin1 @AsambleaSV @YouTube vamos pueblo si se puede #presupuesto2020ya @AsambleaSV"
"101","@emilio_coreaES asi grandicimo pendejo pero los bonos si se los aprueban ahi no hay deuda #presupuesto2020ya los Arenazis y frentudos nos metieron en esa deuda y ahora que el pueblo quiere usar bien el dinero dice que no mas dueda come <U+0001F4A9><U+0001F4A9> maldito aragan bueno para nada"
"102","excelente Don Giovanni estamos con usted y el pueblo #presupuesto2020ya @AsambleaSV https://t.co/sClSwohnsO"
"103","@VeritoEsme_NI @ravelpak hdlp malnacido ese pendejete orejas de conacaste va pa fuera @ravelpak puta tanto que llora el maldito y mira lo que llega hacer #presupuesto2020ya @AsambleaSV fuera ratas"
"104","@JoseNavarroSV @nayibbukele maldito ladron una patada el culo hay que darle a esta rata para sacarlo d ela asamblea ya basta de tanto descaro de estos malditos #presupuesto2020ya"
"105","@geovanigaleas1 @LaFiscalSV @sandracanales82 #PRESUPUESTO2020YA para saber #QuienPagoElViajeDeOsiris"
"106","Señora ya siéntese le va a dar algo.
#PRESUPUESTO2020YA https://t.co/hxw2MePtH1"
"107","En la @AsambleaSV es donde están los meros meros que aman el país y creen 100% en esta lucha.

Mis respetos y admiración para todos ellos, les agradezco por compartir fotos y videos <U+0001F498><U+0001F498><U+0001F498><U+0001F1F8><U+0001F1FB><U+0001F1F8><U+0001F1FB><U+0001F1F8><U+0001F1FB><U+0001F64F><U+0001F64F><U+0001F64F><U+0001F64F><U+0001F64F>
Dios bendiga mi amado país y a mi pueblo <U+0001F4AA><U+0001F4AA>

#PRESUPUESTO2020YA"
"108","Yo apoyo el #PRESUPUESTO2020YA

Presidente estamos con usted <U+0001F64F><U+0001F1F8><U+0001F1FB>
@AsambleaSV https://t.co/fPbym4xq6R"
